date,BTC,ETH,ADA
2018-04-17 00:00:00,7885.02,502.56,0.2426
2018-04-18 00:00:00,8173.0,526.09,0.262
2018-04-19 00:00:00,8278.0,568.14,0.27004
2018-04-20 00:00:00,8856.98,617.09,0.30108
2018-04-21 00:00:00,8915.31,604.87,0.28668
2018-04-22 00:00:00,8787.02,620.92,0.2816
2018-04-23 00:00:00,8934.01,645.09,0.28788
2018-04-24 00:00:00,9619.99,701.58,0.30853
2018-04-25 00:00:00,8869.99,618.0,0.2687
2018-04-26 00:00:00,9266.0,661.51,0.29326
2018-04-27 00:00:00,8915.35,643.46,0.28445
2018-04-28 00:00:00,9348.0,682.86,0.35676
2018-04-29 00:00:00,9419.0,690.85,0.36254
2018-04-30 00:00:00,9246.01,670.78,0.34145
2018-05-01 00:00:00,9071.48,672.0,0.35504
2018-05-02 00:00:00,9247.84,688.56,0.37199
2018-05-03 00:00:00,9750.0,779.0,0.36716
2018-05-04 00:00:00,9713.99,785.99,0.358
2018-05-05 00:00:00,9864.0,819.5,0.36502
2018-05-06 00:00:00,9659.01,794.3,0.34654
2018-05-07 00:00:00,9365.0,752.49,0.33046
2018-05-08 00:00:00,9187.56,748.99,0.32213
2018-05-09 00:00:00,9310.0,751.75,0.31884
2018-05-10 00:00:00,9002.2,722.52,0.29121
2018-05-11 00:00:00,8400.0,676.96,0.25573
2018-05-12 00:00:00,8465.94,684.11,0.2655
2018-05-13 00:00:00,8679.71,729.08,0.27718
2018-05-14 00:00:00,8663.34,727.49,0.26655
2018-05-15 00:00:00,8462.0,704.91,0.25394
2018-05-16 00:00:00,8330.0,706.29,0.25237
2018-05-17 00:00:00,8041.46,667.62,0.23919
2018-05-18 00:00:00,8239.81,692.6,0.24324
2018-05-19 00:00:00,8233.49,697.0,0.24116
2018-05-20 00:00:00,8526.98,716.16,0.25556
2018-05-21 00:00:00,8381.24,696.7,0.24563
2018-05-22 00:00:00,7977.11,640.99,0.22
2018-05-23 00:00:00,7501.95,577.19,0.1978
2018-05-24 00:00:00,7575.01,602.18,0.2073
2018-05-25 00:00:00,7457.0,585.55,0.19788
2018-05-26 00:00:00,7333.96,586.0,0.19504
2018-05-27 00:00:00,7338.99,570.4,0.19186
2018-05-28 00:00:00,7099.0,511.5,0.17249
2018-05-29 00:00:00,7461.29,567.36,0.20164
2018-05-30 00:00:00,7375.96,557.19,0.20779
2018-05-31 00:00:00,7485.01,577.81,0.2233
2018-06-01 00:00:00,7521.01,579.0,0.22038
2018-06-02 00:00:00,7640.03,590.85,0.22648
2018-06-03 00:00:00,7714.26,619.66,0.22659
2018-06-04 00:00:00,7487.0,591.02,0.21243
2018-06-05 00:00:00,7625.0,609.05,0.21839
2018-06-06 00:00:00,7658.84,607.4,0.21452
2018-06-07 00:00:00,7691.08,605.16,0.21019
2018-06-08 00:00:00,7603.44,598.68,0.2043
2018-06-09 00:00:00,7491.73,592.87,0.2011
2018-06-10 00:00:00,6764.99,524.11,0.17346
2018-06-11 00:00:00,6872.0,531.69,0.17897
2018-06-12 00:00:00,6530.0,493.0,0.16297
2018-06-13 00:00:00,6292.78,475.47,0.15791
2018-06-14 00:00:00,6635.98,519.29,0.17062
2018-06-15 00:00:00,6388.9,487.48,0.16097
2018-06-16 00:00:00,6483.98,496.74,0.16191
2018-06-17 00:00:00,6449.61,497.14,0.16044
2018-06-18 00:00:00,6712.46,517.95,0.1637
2018-06-19 00:00:00,6741.21,537.97,0.167
2018-06-20 00:00:00,6761.51,536.49,0.16182
2018-06-21 00:00:00,6718.84,526.18,0.15779
2018-06-22 00:00:00,6045.0,462.09,0.13843
2018-06-23 00:00:00,6149.98,473.41,0.1371
2018-06-24 00:00:00,6136.97,454.41,0.13093
2018-06-25 00:00:00,6252.0,458.7,0.13521
2018-06-26 00:00:00,6070.78,429.34,0.12519
2018-06-27 00:00:00,6133.73,441.64,0.12752
2018-06-28 00:00:00,5853.98,420.22,0.11825
2018-06-29 00:00:00,6197.92,434.77,0.12534
2018-06-30 00:00:00,6390.07,454.09,0.13784
2018-07-01 00:00:00,6356.81,452.1,0.14211
2018-07-02 00:00:00,6615.29,476.25,0.15448
2018-07-03 00:00:00,6513.86,461.82,0.14966
2018-07-04 00:00:00,6586.98,467.38,0.15112
2018-07-05 00:00:00,6529.2,467.87,0.14736
2018-07-06 00:00:00,6609.78,470.47,0.14501
2018-07-07 00:00:00,6756.98,485.57,0.14783
2018-07-08 00:00:00,6712.1,486.77,0.14481
2018-07-09 00:00:00,6662.12,471.71,0.13935
2018-07-10 00:00:00,6296.91,432.48,0.12814
2018-07-11 00:00:00,6378.07,444.99,0.13144
2018-07-12 00:00:00,6250.57,431.14,0.1275
2018-07-13 00:00:00,6214.57,432.46,0.13768
2018-07-14 00:00:00,6251.99,433.19,0.1365
2018-07-15 00:00:00,6353.01,449.78,0.14227
2018-07-16 00:00:00,6723.35,478.49,0.15655
2018-07-17 00:00:00,7317.44,498.76,0.17136
2018-07-18 00:00:00,7381.9,479.41,0.18053
2018-07-19 00:00:00,7466.21,468.57,0.18191
2018-07-20 00:00:00,7337.53,449.04,0.16129
2018-07-21 00:00:00,7398.78,460.23,0.16327
2018-07-22 00:00:00,7394.79,457.47,0.16916
2018-07-23 00:00:00,7721.01,450.05,0.16423
2018-07-24 00:00:00,8397.24,479.28,0.17349
2018-07-25 00:00:00,8175.64,472.1,0.17275
2018-07-26 00:00:00,7920.0,462.64,0.164
2018-07-27 00:00:00,8188.57,470.09,0.1659
2018-07-28 00:00:00,8225.04,469.29,0.1641
2018-07-29 00:00:00,8211.0,466.4,0.16268
2018-07-30 00:00:00,8173.92,456.23,0.15327
2018-07-31 00:00:00,7730.93,432.22,0.14175
2018-08-01 00:00:00,7604.58,420.41,0.13984
2018-08-02 00:00:00,7525.71,410.62,0.13039
2018-08-03 00:00:00,7418.78,417.52,0.12947
2018-08-04 00:00:00,7009.84,407.21,0.12639
2018-08-05 00:00:00,7024.19,408.79,0.13024
2018-08-06 00:00:00,6934.82,405.28,0.12937
2018-08-07 00:00:00,6720.06,378.21,0.12365
2018-08-08 00:00:00,6285.0,355.48,0.11292
2018-08-09 00:00:00,6529.79,363.3,0.12213
2018-08-10 00:00:00,6144.01,331.81,0.11485
2018-08-11 00:00:00,6232.35,317.69,0.11022
2018-08-12 00:00:00,6308.33,317.89,0.11153
2018-08-13 00:00:00,6246.35,283.81,0.10104
2018-08-14 00:00:00,6188.08,278.41,0.0935
2018-08-15 00:00:00,6267.16,281.12,0.09361
2018-08-16 00:00:00,6311.75,287.17,0.0946
2018-08-17 00:00:00,6584.49,317.51,0.11
2018-08-18 00:00:00,6387.96,294.11,0.09831
2018-08-19 00:00:00,6477.53,299.42,0.10143
2018-08-20 00:00:00,6254.84,270.51,0.09174
2018-08-21 00:00:00,6480.0,281.21,0.09469
2018-08-22 00:00:00,6360.89,270.8,0.08955
2018-08-23 00:00:00,6525.01,275.99,0.09232
2018-08-24 00:00:00,6681.64,281.19,0.09381
2018-08-25 00:00:00,6733.64,277.55,0.09413
2018-08-26 00:00:00,6700.0,274.29,0.09306
2018-08-27 00:00:00,6908.64,287.71,0.10051
2018-08-28 00:00:00,7076.11,295.44,0.10555
2018-08-29 00:00:00,7031.22,288.4,0.10535
2018-08-30 00:00:00,6984.84,283.89,0.10066
2018-08-31 00:00:00,7011.21,281.41,0.1017
2018-09-01 00:00:00,7200.01,295.71,0.10699
2018-09-02 00:00:00,7302.01,295.41,0.10499
2018-09-03 00:00:00,7263.02,289.09,0.10352
2018-09-04 00:00:00,7359.06,285.3,0.10521
2018-09-05 00:00:00,6700.0,228.53,0.08637
2018-09-06 00:00:00,6516.01,229.7,0.0884
2018-09-07 00:00:00,6395.54,215.22,0.08287
2018-09-08 00:00:00,6185.05,196.71,0.07749
2018-09-09 00:00:00,6250.81,195.81,0.07601
2018-09-10 00:00:00,6312.0,197.15,0.07343
2018-09-11 00:00:00,6294.91,185.18,0.0701
2018-09-12 00:00:00,6338.62,183.12,0.06627
2018-09-13 00:00:00,6487.38,210.68,0.06951
2018-09-14 00:00:00,6476.63,208.82,0.06749
2018-09-15 00:00:00,6514.96,221.29,0.06895
2018-09-16 00:00:00,6505.0,220.17,0.06988
2018-09-17 00:00:00,6248.69,196.16,0.06347
2018-09-18 00:00:00,6336.45,208.17,0.069
2018-09-19 00:00:00,6391.89,209.79,0.07218
2018-09-20 00:00:00,6492.0,224.0,0.08089
2018-09-21 00:00:00,6759.02,247.73,0.08773
2018-09-22 00:00:00,6723.05,241.01,0.08338
2018-09-23 00:00:00,6708.0,244.5,0.08986
2018-09-24 00:00:00,6581.39,228.06,0.08241
2018-09-25 00:00:00,6447.54,219.62,0.08108
2018-09-26 00:00:00,6465.12,214.42,0.07913
2018-09-27 00:00:00,6689.13,229.13,0.08629
2018-09-28 00:00:00,6634.58,221.84,0.0839
2018-09-29 00:00:00,6596.38,231.62,0.08446
2018-09-30 00:00:00,6626.57,232.94,0.08511
2018-10-01 00:00:00,6611.61,231.61,0.08467
2018-10-02 00:00:00,6525.79,225.69,0.08224
2018-10-03 00:00:00,6510.0,220.77,0.08088
2018-10-04 00:00:00,6593.79,222.66,0.08164
2018-10-05 00:00:00,6635.65,228.37,0.08339
2018-10-06 00:00:00,6594.27,225.4,0.08151
2018-10-07 00:00:00,6615.26,226.14,0.08464
2018-10-08 00:00:00,6673.01,230.01,0.08698
2018-10-09 00:00:00,6656.61,228.4,0.08659
2018-10-10 00:00:00,6631.0,226.74,0.08542
2018-10-11 00:00:00,6252.68,191.58,0.07079
2018-10-12 00:00:00,6298.01,196.96,0.0732
2018-10-13 00:00:00,6332.93,201.3,0.07374
2018-10-14 00:00:00,6339.34,197.01,0.0717
2018-10-15 00:00:00,6752.5,214.39,0.07671
2018-10-16 00:00:00,6759.27,215.09,0.07777
2018-10-17 00:00:00,6740.89,212.85,0.07994
2018-10-18 00:00:00,6618.96,206.24,0.07668
2018-10-19 00:00:00,6528.88,205.0,0.07683
2018-10-20 00:00:00,6588.4,207.91,0.07768
2018-10-21 00:00:00,6590.11,207.49,0.07721
2018-10-22 00:00:00,6581.2,206.67,0.07731
2018-10-23 00:00:00,6553.51,205.85,0.07597
2018-10-24 00:00:00,6565.5,205.35,0.07539
2018-10-25 00:00:00,6528.09,203.93,0.07478
2018-10-26 00:00:00,6538.63,204.92,0.07471
2018-10-27 00:00:00,6505.6,204.45,0.07352
2018-10-28 00:00:00,6489.93,204.99,0.07364
2018-10-29 00:00:00,6344.5,196.96,0.07019
2018-10-30 00:00:00,6330.87,197.27,0.07007
2018-10-31 00:00:00,6371.93,198.73,0.07061
2018-11-01 00:00:00,6410.0,199.96,0.07127
2018-11-02 00:00:00,6433.98,202.35,0.07311
2018-11-03 00:00:00,6387.09,200.31,0.07177
2018-11-04 00:00:00,6485.85,212.11,0.0773
2018-11-05 00:00:00,6468.99,210.66,0.07685
2018-11-06 00:00:00,6519.11,220.74,0.08168
2018-11-07 00:00:00,6578.46,219.07,0.079
2018-11-08 00:00:00,6479.84,212.79,0.07684
2018-11-09 00:00:00,6419.99,210.77,0.07463
2018-11-10 00:00:00,6433.05,213.25,0.07548
2018-11-11 00:00:00,6449.81,212.54,0.077
2018-11-12 00:00:00,6453.07,212.89,0.07687
2018-11-13 00:00:00,6457.66,209.84,0.07465
2018-11-14 00:00:00,5922.41,187.43,0.06657
2018-11-15 00:00:00,5753.4,184.35,0.06435
2018-11-16 00:00:00,5655.94,176.89,0.06145
2018-11-17 00:00:00,5628.29,176.2,0.06123
2018-11-18 00:00:00,5662.0,178.97,0.06234
2018-11-19 00:00:00,4910.03,150.81,0.0527
2018-11-20 00:00:00,4558.86,133.82,0.04587
2018-11-21 00:00:00,4661.07,138.23,0.04839
2018-11-22 00:00:00,4370.0,126.63,0.04407
2018-11-23 00:00:00,4420.61,125.02,0.0438
2018-11-24 00:00:00,3932.44,114.89,0.039
2018-11-25 00:00:00,4085.78,118.67,0.03832
2018-11-26 00:00:00,3862.2,110.68,0.03652
2018-11-27 00:00:00,3875.21,111.43,0.03693
2018-11-28 00:00:00,4264.85,122.9,0.04222
2018-11-29 00:00:00,4295.84,117.98,0.04194
2018-11-30 00:00:00,4041.32,113.73,0.03907
2018-12-01 00:00:00,4190.02,118.1,0.04138
2018-12-02 00:00:00,4161.01,116.57,0.04187
2018-12-03 00:00:00,3884.01,108.76,0.03848
2018-12-04 00:00:00,3951.64,109.94,0.03752
2018-12-05 00:00:00,3769.84,102.71,0.03442
2018-12-06 00:00:00,3508.75,91.0,0.03072
2018-12-07 00:00:00,3403.55,93.05,0.02975
2018-12-08 00:00:00,3410.93,90.38,0.0302
2018-12-09 00:00:00,3545.37,93.26,0.0311
2018-12-10 00:00:00,3432.88,89.91,0.02977
2018-12-11 00:00:00,3380.39,87.76,0.02931
2018-12-12 00:00:00,3445.0,89.41,0.03029
2018-12-13 00:00:00,3302.06,86.34,0.02912
2018-12-14 00:00:00,3224.17,83.82,0.02832
2018-12-15 00:00:00,3211.72,83.76,0.02807
2018-12-16 00:00:00,3228.67,84.67,0.029
2018-12-17 00:00:00,3509.08,94.02,0.03241
2018-12-18 00:00:00,3652.98,100.39,0.0343
2018-12-19 00:00:00,3662.22,98.74,0.03368
2018-12-20 00:00:00,4049.62,114.05,0.03871
2018-12-21 00:00:00,3838.66,107.69,0.04031
2018-12-22 00:00:00,3948.91,115.2,0.04156
2018-12-23 00:00:00,3929.71,129.03,0.04369
2018-12-24 00:00:00,4008.01,138.03,0.04499
2018-12-25 00:00:00,3745.79,127.6,0.04107
2018-12-26 00:00:00,3777.74,129.35,0.0406
2018-12-27 00:00:00,3567.91,113.8,0.03611
2018-12-28 00:00:00,3839.26,135.3,0.04111
2018-12-29 00:00:00,3695.32,132.89,0.04049
2018-12-30 00:00:00,3801.91,137.77,0.04263
2018-12-31 00:00:00,3702.9,131.45,0.04054
2019-01-01 00:00:00,3797.14,139.1,0.04198
2019-01-02 00:00:00,3858.56,152.01,0.04433
2019-01-03 00:00:00,3766.78,146.3,0.04205
2019-01-04 00:00:00,3792.01,151.97,0.04301
2019-01-05 00:00:00,3770.96,152.83,0.04403
2019-01-06 00:00:00,3987.6,153.86,0.04822
2019-01-07 00:00:00,3975.45,149.34,0.04755
2019-01-08 00:00:00,3955.13,147.6,0.0478
2019-01-09 00:00:00,3966.65,148.1,0.05144
2019-01-10 00:00:00,3585.88,124.95,0.04366
2019-01-11 00:00:00,3601.31,124.65,0.0433
2019-01-12 00:00:00,3583.13,123.35,0.04288
2019-01-13 00:00:00,3476.81,114.16,0.03944
2019-01-14 00:00:00,3626.09,126.95,0.04343
2019-01-15 00:00:00,3553.06,118.95,0.04201
2019-01-16 00:00:00,3591.84,121.48,0.04419
2019-01-17 00:00:00,3616.21,121.54,0.04471
2019-01-18 00:00:00,3594.87,119.17,0.04372
2019-01-19 00:00:00,3665.3,122.6,0.04515
2019-01-20 00:00:00,3539.28,117.47,0.04287
2019-01-21 00:00:00,3526.9,115.63,0.04251
2019-01-22 00:00:00,3570.93,117.81,0.04334
2019-01-23 00:00:00,3552.82,116.44,0.04266
2019-01-24 00:00:00,3569.62,116.39,0.04284
2019-01-25 00:00:00,3565.29,115.11,0.0424
2019-01-26 00:00:00,3565.25,115.34,0.04241
2019-01-27 00:00:00,3550.84,112.05,0.04087
2019-01-28 00:00:00,3434.15,105.5,0.03855
2019-01-29 00:00:00,3411.04,104.45,0.03796
2019-01-30 00:00:00,3458.18,108.29,0.03953
2019-01-31 00:00:00,3434.1,106.44,0.03824
2019-02-01 00:00:00,3462.07,106.73,0.03857
2019-02-02 00:00:00,3504.77,110.42,0.03929
2019-02-03 00:00:00,3458.11,107.36,0.03824
2019-02-04 00:00:00,3463.22,107.68,0.03799
2019-02-05 00:00:00,3471.59,107.27,0.03805
2019-02-06 00:00:00,3405.37,104.5,0.03667
2019-02-07 00:00:00,3398.4,104.48,0.03646
2019-02-08 00:00:00,3659.04,119.25,0.04072
2019-02-09 00:00:00,3665.18,119.19,0.04117
2019-02-10 00:00:00,3680.06,125.12,0.0429
2019-02-11 00:00:00,3631.05,120.89,0.04169
2019-02-12 00:00:00,3631.46,122.41,0.04173
2019-02-13 00:00:00,3609.4,121.86,0.04107
2019-02-14 00:00:00,3590.56,120.42,0.04037
2019-02-15 00:00:00,3602.47,121.67,0.04059
2019-02-16 00:00:00,3618.41,122.67,0.04101
2019-02-17 00:00:00,3667.58,133.75,0.04157
2019-02-18 00:00:00,3898.6,145.69,0.04564
2019-02-19 00:00:00,3907.79,143.44,0.04593
2019-02-20 00:00:00,3969.74,148.44,0.04748
2019-02-21 00:00:00,3937.31,145.69,0.04506
2019-02-22 00:00:00,3962.0,147.36,0.0458
2019-02-23 00:00:00,4117.76,157.79,0.04846
2019-02-24 00:00:00,3743.56,132.1,0.04156
2019-02-25 00:00:00,3827.92,137.87,0.04351
2019-02-26 00:00:00,3809.23,136.22,0.04296
2019-02-27 00:00:00,3818.07,135.02,0.04296
2019-02-28 00:00:00,3813.69,135.34,0.04287
2019-03-01 00:00:00,3823.0,135.32,0.043
2019-03-02 00:00:00,3819.93,132.56,0.04242
2019-03-03 00:00:00,3807.75,130.6,0.04206
2019-03-04 00:00:00,3715.3,125.65,0.04022
2019-03-05 00:00:00,3857.73,136.72,0.04292
2019-03-06 00:00:00,3861.84,137.4,0.04251
2019-03-07 00:00:00,3873.64,136.81,0.04275
2019-03-08 00:00:00,3864.89,133.52,0.04243
2019-03-09 00:00:00,3943.04,137.27,0.04681
2019-03-10 00:00:00,3916.82,135.37,0.04557
2019-03-11 00:00:00,3871.61,132.67,0.04732
2019-03-12 00:00:00,3882.73,133.57,0.04718
2019-03-13 00:00:00,3866.0,131.65,0.04626
2019-03-14 00:00:00,3877.12,132.2,0.04765
2019-03-15 00:00:00,3923.76,136.56,0.04988
2019-03-16 00:00:00,4005.98,140.92,0.05124
2019-03-17 00:00:00,3981.14,138.67,0.04983
2019-03-18 00:00:00,3987.81,137.59,0.04997
2019-03-19 00:00:00,4015.53,138.55,0.05205
2019-03-20 00:00:00,4043.04,139.01,0.05355
2019-03-21 00:00:00,3980.64,134.85,0.05235
2019-03-22 00:00:00,3986.93,135.98,0.05779
2019-03-23 00:00:00,4006.01,137.28,0.06349
2019-03-24 00:00:00,3992.18,136.09,0.06151
2019-03-25 00:00:00,3936.12,133.98,0.05857
2019-03-26 00:00:00,3948.55,134.18,0.0617
2019-03-27 00:00:00,4038.05,139.45,0.06697
2019-03-28 00:00:00,4027.81,137.86,0.06551
2019-03-29 00:00:00,4103.25,143.25,0.07112
2019-03-30 00:00:00,4106.97,142.46,0.0721
2019-03-31 00:00:00,4103.95,141.38,0.06989
2019-04-01 00:00:00,4144.56,141.24,0.0721
2019-04-02 00:00:00,4857.29,163.31,0.08544
2019-04-03 00:00:00,4932.6,159.96,0.09062
2019-04-04 00:00:00,4898.66,157.36,0.08716
2019-04-05 00:00:00,5004.95,164.77,0.09044
2019-04-06 00:00:00,5043.89,165.5,0.08988
2019-04-07 00:00:00,5170.27,174.21,0.0898
2019-04-08 00:00:00,5236.9,178.72,0.08604
2019-04-09 00:00:00,5150.0,174.6,0.08288
2019-04-10 00:00:00,5308.25,177.12,0.08947
2019-04-11 00:00:00,5017.37,164.07,0.08297
2019-04-12 00:00:00,5048.01,163.19,0.0825
2019-04-13 00:00:00,5045.22,162.99,0.08284
2019-04-14 00:00:00,5131.3,167.23,0.08416
2019-04-15 00:00:00,5024.95,159.95,0.0816
